"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
1811403,-0.8570773721
1813229,-0.857082778
1815055,-0.8570931788
1816881,-0.8571281597
1818707,-0.8572014397
1820533,-0.8572422355
1822359,-0.8572542449
1824185,-0.8572600987
1826011,-0.8572645597
1827837,-0.8572683934
1829663,-0.8572717977
1831489,-0.8572748837
1833315,-0.8572777357
1835141,-0.8572804182
1836967,-0.8572829755
1838793,-0.8572854316
1840619,-0.8572878026
1842445,-0.8572901007
1844271,-0.8572923302
1846097,-0.8572944888
1847923,-0.8572965761
1849749,-0.8572986194
1851575,-0.8573007542
1853401,-0.8573034832
1855227,-0.8573085498
1857053,-0.8573220788
1858879,-0.8573662824
1860705,-0.8575187526
1862531,-0.8579650856
1864357,-0.8587073253
1866183,-0.8592343942
1868009,-0.8594303039
1869835,-0.8594896441
1871661,-0.8595102372
1873487,-0.8595209436
1875313,-0.8595286398
1877139,-0.8595349361
1878965,-0.8595403968
1880791,-0.859545136
1882617,-0.8595492443
1884443,-0.8595528385
1886269,-0.8595560354
1888095,-0.8595589332
1889921,-0.8595616073
1891747,-0.8595641133
1893573,-0.8595664914
1895399,-0.8595687702
1897225,-0.8595709693
1899051,-0.8595731013
1900877,-0.8595751712
1902703,-0.8595771754
1904529,-0.8595791005
1906355,-0.8595809279
1908181,-0.8595826767
1910007,-0.8595846884
1911833,-0.8595894087
1913659,-0.859610159
1915485,-0.8596682555
1917311,-0.8597122991
1919137,-0.859724216
1920963,-0.8597282173
1922789,-0.8597315765
1924615,-0.8597356133
1926441,-0.8597408365
1928267,-0.8597483236
1930093,-0.859761904
1931919,-0.8597959892
1933745,-0.8599032138
1935571,-0.860234107
1937397,-0.8609100126
1939223,-0.8615327378
1941049,-0.8618028759
1942875,-0.8618848057
1944701,-0.8619083391
1946527,-0.8619157584
1948353,-0.8619187478
1950179,-0.8619205585
1952005,-0.8619221377
1953831,-0.8619237438
1955657,-0.8619254244
1957483,-0.8619271611
1959309,-0.8619288984
1961135,-0.8619304882
1962961,-0.8619313383
1964787,-0.8619374844
1966613,-0.8619840643
