"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
159374960,0.986546294
159557520,0.9865462106
159740080,0.9865459016
159922640,0.9865445156
160105200,0.9865401317
160287760,0.9867622944
160470320,0.9867603999
160652880,0.9867608473
160835440,0.9867656673
161018000,0.986766196
161200560,0.9867661623
161383120,0.9867661766
161565680,0.986766204
161748240,0.9867662289
161930800,0.9867662201
162113360,0.9867661336
162295920,0.9867824975
162478480,0.9867940626
162661040,0.9867943419
162843600,0.9867943202
163026160,0.9867949862
163208720,0.9867998531
163391280,0.9867998198
163573840,0.9867998412
163756400,0.986799866
163938960,0.9867998722
164121520,0.986799823
164304080,0.9868005959
164486640,0.9868261403
164669200,0.9868272129
164851760,0.9868252459
165034320,0.9868818305
165216880,0.9870133372
165399440,0.9870162241
165582000,0.9870163468
165764560,0.9870161829
165947120,0.9870161392
166129680,0.9870161523
166312240,0.9870170979
166494800,0.9870213243
166677360,0.9870443888
166859920,0.9870443916
167042480,0.9870443548
167225040,0.9870443702
167407600,0.9870443817
167590160,0.9870443358
167772720,0.9870501461
167955280,0.9870501115
168137840,0.9870501842
168320400,0.9870516354
168502960,0.9870526927
168685520,0.9870605138
168868080,0.9870783042
169050640,0.9870781678
169233200,0.9870781108
169415760,0.9870780601
169598320,0.9870779235
169780880,0.9870774542
169963440,0.9870750487
170146000,0.9872184699
170328560,0.9872688693
170511120,0.987267758
170693680,0.9872672467
170876240,0.9872775115
171058800,0.9872922338
171241360,0.987292074
171423920,0.987292038
171606480,0.9872920511
171789040,0.9872920799
171971600,0.987292119
172154160,0.9872923094
172336720,0.9872941963
172519280,0.9873001634
172701840,0.9873004476
172884400,0.987300299
173066960,0.9873070991
173249520,0.9873252793
173432080,0.9873251639
173614640,0.987325136
173797200,0.9873251545
173979760,0.9873251915
174162320,0.9873254398
174344880,0.987327461
174527440,0.9873278838
174710000,0.9873278063
174892560,0.9873280276
175075120,0.9873325987
175257680,0.9873310385
175440240,0.9875432697
175622800,0.9875393058
175805360,0.9875378302
175987920,0.9875375029
176170480,0.9875376456
176353040,0.9875396244
176535600,0.9875400295
