"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
110996560,0.9371104317
111179120,0.9371132525
111361680,0.9371211381
111544240,0.9371205326
111726800,0.93712087
111909360,0.9371257677
112091920,0.9371306345
112274480,0.9371333362
112457040,0.9371385409
112639600,0.9371468798
112822160,0.9371431606
113004720,0.9371489781
113187280,0.9371484241
113369840,0.9371538073
113552400,0.9371572647
113734960,0.9371612781
113917520,0.9371677012
114100080,0.9371712787
114282640,0.9371743003
114465200,0.9371779979
114647760,0.9371818736
114830320,0.9371854266
115012880,0.9371876441
115195440,0.9371938792
115378000,0.9371958403
115560560,0.9372016488
115743120,0.9372035788
115925680,0.9372083766
116108240,0.93720961
116290800,0.9372451472
116473360,0.9372176625
116655920,0.937223444
116838480,0.9372246415
117021040,0.9372311272
117203600,0.9372323062
117386160,0.9372378466
117568720,0.9372666581
117751280,0.9372455405
117933840,0.9372466865
118116400,0.9372507339
118298960,0.9372557469
118481520,0.9372577257
118664080,0.9372627608
118846640,0.9372642912
119029200,0.9372908043
119211760,0.9372728824
119394320,0.9372756527
119576880,0.9372803787
119759440,0.9372822238
119942000,0.9373003116
120124560,0.9372915061
120307120,0.9372937894
120489680,0.937297935
120672240,0.9373014608
120854800,0.9373027622
121037360,0.937309018
121219920,0.937311716
121402480,0.9373141058
121585040,0.9373190674
121767600,0.9373212431
121950160,0.9373252823
122132720,0.9373324523
122315280,0.9373319595
122497840,0.9373361686
122680400,0.9373399982
122862960,0.9373423276
123045520,0.9373469701
123228080,0.9373500745
123410640,0.937352406
123593200,0.9373599698
123775760,0.9373614377
123958320,0.9373637779
124140880,0.9373691982
124323440,0.9373711177
124506000,0.9373745973
124688560,0.937380969
124871120,0.937382066
125053680,0.9373845322
125236240,0.9373898883
125418800,0.9373909347
125601360,0.9373946904
125783920,0.9373992558
125966480,0.9374007796
126149040,0.9374049191
126331600,0.9374080952
126514160,0.9374097874
126696720,0.9374154412
126879280,0.9374326865
127061840,0.9374181942
127244400,0.9374235453
127426960,0.9374268398
127609520,0.9374296057
127792080,0.9374312519
127974640,0.9374386018
128157200,0.9374381356
128339760,0.9374410498
128522320,0.9374477399
128704880,0.9374487196
128887440,0.9374523431
129070000,0.9374560389
129252560,0.9374562129
129435120,0.937459988
129617680,0.9374646402
129800240,0.9374658906
129982800,0.937471203
130165360,0.9374749775
130347920,0.9374746007
130530480,0.937479729
130713040,0.9374804629
130895600,0.9374860492
131078160,0.9374942872
131260720,0.9374889659
131443280,0.9374951388
131625840,0.9374958272
131808400,0.9374984879
131990960,0.9375043758
132173520,0.9375140166
132356080,0.9375086863
132538640,0.9375142204
132721200,0.9375156953
132903760,0.9375185636
133086320,0.9375247395
133268880,0.9375265676
133451440,0.9375569342
133634000,0.9375338776
133816560,0.9375342518
133999120,0.9375374218
134181680,0.9375438025
134364240,0.9375432793
134546800,0.9375463694
134729360,0.9375508494
134911920,0.9375531097
135094480,0.9375549941
135277040,0.9375586534
135459600,0.9375597501
135642160,0.9375645821
135824720,0.9375655251
136007280,0.9375699341
136189840,0.937573679
136372400,0.9375745887
136554960,0.9375806118
136737520,0.9375812626
136920080,0.9375853537
137102640,0.9375881072
137285200,0.9375893869
137467760,0.9375952145
137650320,0.9375951769
137832880,0.9376017675
138015440,0.9376044795
